player_name,psi_log_avg,psi_log_sr,psi_combined,rank
MN Samuels,0.49606784863303055,0.07972511691404602,0.3572869380600357,121
DJ Mitchell,0.4726984301688625,0.12391832175438518,0.3564383940307034,122
DAS Gunaratne,0.4875964856176474,0.09281414309318968,0.35600237144282815,123
H Thaker,0.49190711940431603,0.08282289727753445,0.35554571202872215,124
DJ Hussey,0.44599890190723335,0.17227576526488436,0.3547578563597837,125
RK Paudel,0.47591678513758057,0.10970283280269578,0.353845467692619,126
JA Burns,0.44101911663934157,0.17749990686632772,0.35317938004833693,127
BB McCullum,0.41249901054886634,0.2246392367389834,0.34987908594557204,128
CL Cairns,0.43416363295252924,0.17901843568602163,0.34911523386369336,129
Mohammad Saifuddin,0.4511697031097005,0.14252946365987418,0.3482896232930917,130
UDU Chandana,0.4564728128390448,0.1311902552880957,0.34804529365539505,131
MEK Hussey,0.4609930917733042,0.11974629529632869,0.3472441596143124,132
RE van der Merwe,0.42024433557258695,0.19879779900442354,0.34642882338319914,133
B Lee,0.40759998818785015,0.22184108042252498,0.34568035226607513,134
MR Adair,0.40348529463358407,0.22851173899717658,0.34516077608811485,135
KA Pollard,0.4079251247439207,0.2177420678939916,0.344530772460611,136
SPD Smith,0.4645405065228663,0.1039890112463216,0.3443566747640181,137
PR Stirling,0.4239142920669395,0.17591597983072005,0.34124818798819967,138
ME Waugh,0.457530156313505,0.10657135868717194,0.34054389043806066,139
Aqib Ilyas,0.46027743412548,0.09921888116623831,0.3399245831390661,140
Shayan Jahangir,0.41021873660876196,0.19555023663333887,0.3386625699502876,141
SB Styris,0.44392682353417556,0.12810100933391652,0.3386515521340892,142
Nizakat Khan,0.43690957430878363,0.14189182233191855,0.3385703236498286,143
MG Erasmus,0.45018844328722674,0.11416535027860124,0.3381807456176849,144
DA Miller,0.39308831169692254,0.2258949393660302,0.3373571875866251,145
SM Pollock,0.41218477052357455,0.1869887994095041,0.33711944681888445,146
Yuvraj Singh,0.4015187694903826,0.19941560616048742,0.33415104838041754,147
KC Sangakkara,0.4464465453239529,0.10901177767808062,0.33396828944199547,148
SR Waugh,0.4603192123558939,0.08062763349990039,0.3337553527372294,149
Aarif Sheikh,0.4706201365069052,0.05961175784935654,0.33361734362105566,150
NK Patel,0.4576153340229994,0.0827628884821403,0.33266451884271303,151
JH Davey,0.4309434936618397,0.1339915647579613,0.3319595173605469,152
Mahmudullah,0.4508383635365297,0.09002919130122149,0.3305686394580936,153
E Chigumbura,0.40211651220932615,0.18690897769218312,0.3303806673702785,154
Muhammad Waseem,0.3889685561303121,0.2112760503726369,0.3297377208777537,155
MD Crowe,0.47246652778255294,0.04209607949896675,0.32900971168802423,156
ST Jayasuriya,0.3811302070414256,0.2230790053304679,0.32844647313777303,157
RR Rossouw,0.37494216874485115,0.2317581752716189,0.3272141709204404,158
Babar Hayat,0.4259616969455186,0.12837028467734318,0.3267645595227935,159
CH Morris,0.4089973565069253,0.16227145336558504,0.3267553887931452,160
RA Jadeja,0.4270912880951705,0.1260424843002589,0.32674168683019994,161
CO Obuya,0.44691621976823576,0.08291816014392875,0.32558353322680006,162
JM Bairstow,0.39697009762359775,0.1825465238433393,0.3254955730301783,163
JO Holder,0.4033724878561712,0.1679221038503961,0.32488902652091284,164
