player_name,psi_log_econ,psi_log_avg,psi_combined,rank
JTS Sumerauer,0.028704322604908124,-0.033221198879170646,0.012579358384477721,320
KD Mills,-0.02224965140995216,-0.007702445508886407,0.012551514142574991,321
M Prabhakar,-0.024729330446211298,-0.006147359658459684,0.012341349921043555,322
T Shamsi,0.024834206381011505,-0.03084842031336206,0.012287544748570871,323
R Rampaul,-0.02248829485362279,-0.0069518128038256665,0.01213064015375804,324
S Elworthy,0.007590869929570725,-0.02127296433030319,0.011651686243678551,325
SL Malinga,0.09674997813908766,-0.06570772202430829,0.011555155303176306,326
GD Elliott,0.09259999511433908,-0.06346340016029856,0.011442268402086009,327
MM Patel,-0.05151303969466975,0.00885451911631171,0.011268000487348778,328
Arshdeep Singh,0.15814152337779913,-0.095880690207006,0.011206619012070956,329
PC Connell,-0.022377840533895032,-0.005599035815166207,0.011191970721409148,330
BM McMillan,-0.07219457211077808,0.019385154561372617,0.011141420996010948,331
KMDN Kulasekara,-0.03372603864928275,0.0006476749508080615,0.010810229582555543,332
M Morkel,0.009022139122819805,-0.0204518518308826,0.010627188179648464,333
FJ Klaassen,0.015517223314595026,-0.023520499207757787,0.010507925033640182,334
Aaqib Javed,-0.05931088335197148,0.014173794495930363,0.010321098120036919,335
S Randiv,-0.033028482099646796,0.001081418709050563,0.01028854822718189,336
NC McGarrell,-0.03389810031704598,0.001753541996561793,0.010130338774640799,337
JH Davey,0.036886479192304575,-0.03345081459673449,0.010005050000388135,338
Taskin Ahmed,-0.036011583262998144,0.003366909043647518,0.009759255058567702,339
Simi Singh,-0.027348516057895664,-0.0006948992136499896,0.00957943816173188,340
JS Patel,0.032368329604717784,-0.03042876357682724,0.009496399182978899,341
DNT Zoysa,0.0026874078663228444,-0.015415095272105016,0.00938092755929573,342
TS Chisoro,-0.06268742802476125,0.01816998237442947,0.008782487758634104,343
KA Jamieson,-0.05794181982178516,0.01591478642076446,0.008704082326752079,344
R Ngarava,-0.01649563490347946,-0.004807176547502441,0.008703329332828113,345
S Madan Lal,-0.04721706173891483,0.011322891614567364,0.0081904261699267,346
Hamza Tahir,0.03362258548160211,-0.028995098158841028,0.008122536945359983,347
DR Parry,0.02039828471680035,-0.021382448585470185,0.00745553748471334,348
NJ Astle,-0.0924903343754158,0.035142531557195454,0.007401757087008298,349
C Pringle,-0.020508176377714266,-0.0007478781080920596,0.007334644197966128,350
JOA Gordon,0.09077160224002857,-0.055877721201402726,0.006994613387592293,351
TG Hogan,-0.022008275768847042,0.0006184043966481428,0.006923822325183585,352
TBA May,-0.08403120196781645,0.03211956799759142,0.006597355324211203,353
A Nao,-0.05264573199444104,0.016797438667539515,0.0063502848864540025,354
RE van der Merwe,-0.011522420574561884,-0.003407293313397811,0.006112335733785835,355
CD Collymore,-0.07863182579009574,0.03036200142533032,0.005969274313145034,356
MS Panesar,-0.07708759100491809,0.02964660115793065,0.005931462896352264,357
Saleem Jaffar,0.0035151889801391997,-0.010458348385958953,0.00580050259725957,358
GC Small,-0.034589336319057105,0.008943542156922049,0.005567417335071003,359
PWA Mulder,0.06977443636157796,-0.04262710016150637,0.0051599213204782625,360
N Pokana,-0.009272651281867396,-0.002964745452939361,0.0050673807292487055,361
DJ Nash,-0.03920187594080349,0.012006148499529919,0.005063192980581217,362
Mahedi Hasan,0.0038807003705003365,-0.009429727240259114,0.00499291803667263,363
JN Loftie-Eaton,0.08882676569134636,-0.051895025562754805,0.0049877618113877515,364
C White,0.058379013892173315,-0.036424507887538815,0.004823333960968105,365
Tanzim Hasan Sakib,0.029038300591405747,-0.021735114545540325,0.004810642833224968,366
CJA Amini,-0.014009250765089276,8.358021315086047e-06,0.004664178240819702,367
ST Jayasuriya,-0.014304564952511005,0.0003067324304731033,0.0045637000305215995,368
A Zampa,0.06322636283430215,-0.03815588109716683,0.004361799786677172,369
PA van Meekeren,0.01941416134803614,-0.016063012798608403,0.0042372880830602215,370
JR Thomson,0.01616415843428207,-0.013803309736541316,0.003814153679600187,371
JF Mooney,0.025401881027415307,-0.018410052308484564,0.0038060745298512735,372
Mohammad Naveed,0.0019145975685895664,-0.006276408270513316,0.0035460729908123553,373
L Klusener,-0.054406761349890885,0.022171363751107138,0.0033546779492255366,374
A Dutt,-0.009363701776445436,6.780748861894776e-05,0.0030760289330691803,375
D Heyliger,0.07389780433324285,-0.04146945921189607,0.0030137046968497644,376
