player_idx,player_name,psi_log_avg,psi_log_sr,psi_combined,rank
1342,Yuvraj Singh,0.5265843132306819,0.1961508130719807,0.3613675631513313,107
399,G Gambhir,0.5937079077585482,0.12850991966864372,0.361108913713596,108
594,JP Duminy,0.6034622288177547,0.1176799229096523,0.3605710758637035,109
460,HE van der Dussen,0.6246203818154236,0.09649162809612039,0.360556004955772,110
139,Asif Khan,0.5603223701192639,0.1587962105140005,0.3595592903166322,111
379,F Behardien,0.5199934404375467,0.194777622431392,0.35738553143446933,112
253,CL White,0.5706359944567511,0.14319903187036018,0.35691751316355563,113
862,Muhammad Waseem,0.501841315551622,0.2096169420695205,0.3557291288105713,114
512,Imam-ul-Haq,0.6157449794129188,0.09141076378839617,0.3535778716006575,115
684,L Klusener,0.5127687240677087,0.19411224583007106,0.35344048494888985,116
756,MG Erasmus,0.5913935262037026,0.11163422776661008,0.35151387698515635,117
763,MJ Clarke,0.6057687881540015,0.09420082574013118,0.34998480694706635,118
1158,ST Jayasuriya,0.479549763815729,0.21911195374661122,0.3493308587811701,119
129,Aqib Ilyas,0.6007364166485302,0.09660498651716319,0.3486707015828467,120
765,MJ Guptill,0.5544367368509399,0.14189002731107267,0.3481633820810063,121
178,BKG Mendis,0.5104341670553746,0.18354828530617417,0.3469912261807744,122
1106,SC Ganguly,0.6092095141423409,0.08431799416390548,0.3467637541531232,123
231,CD McMillan,0.5079472574000841,0.1842260864310683,0.3460866719155762,124
1286,Umar Akmal,0.4955462159533847,0.19654511014796333,0.346045663050674,125
751,ME Waugh,0.5873680626077301,0.10461768049223462,0.3459928715499824,126
423,GJ Bailey,0.528348112535111,0.16249085945826433,0.3454194859966877,127
992,R Dravid,0.6742260540488738,0.01624910345956199,0.3452375787542179,128
160,BA Stokes,0.4870805571276478,0.2032451610176973,0.3451628590726725,129
385,FH Allen,0.4265810038016481,0.2633502849918719,0.34496564439676003,130
573,JL Langer,0.5315082276648851,0.1582744973211514,0.34489136249301827,131
208,C Munro,0.41534511259221507,0.27387386199954966,0.34460948729588237,132
1211,Sikandar Raza,0.506251822183632,0.18253813147368136,0.34439497682865666,133
47,AGS Gous,0.5071626739893106,0.18077155997378913,0.34396711698154986,134
712,M Labuschagne,0.5613000543813815,0.1256956968684339,0.34349787562490774,135
6,A Flower,0.636821292555097,0.05012982759254866,0.34347556007382285,136
587,JN Malan,0.5388231035025886,0.14675402805498725,0.3427885657787879,137
702,LS Livingstone,0.4181222398658392,0.26705634478532464,0.3425892923255819,138
1195,Shaiman Anwar,0.5445984082135135,0.13627888395265458,0.34043864608308405,139
1135,SO Hetmyer,0.38091813560231824,0.2994357745390312,0.3401769550706747,140
957,PHKD Mendis,0.494909563903649,0.18480232334878274,0.33985594362621585,141
749,MDKJ Perera,0.425947075721112,0.25262376585786367,0.33928542078948787,142
1064,Rahmanullah Gurbaz,0.5041836785927363,0.17148734766210785,0.33783551312742205,143
504,IR Bell,0.5867226804489978,0.08891551763013816,0.33781909903956797,144
401,G Kirsten,0.6442076150454444,0.026240073969298765,0.3352238445073716,145
197,Babar Hayat,0.5479518563805569,0.12232877339980579,0.3351403148901813,146
39,AD Russell,0.3138874526714639,0.35616890505192667,0.3350281788616953,147
549,JD Ryder,0.4843041411415446,0.18520076524829301,0.3347524531949188,148
1065,Rahmat Shah,0.5832952333120437,0.08391655051320639,0.333605891912625,149
1150,SR Waugh,0.5923561538128197,0.07379532131922652,0.3330757375660231,150
746,MD Patel,0.5067798755174774,0.15789596787691648,0.33233792169719695,151
1015,RD Rickelton,0.4731545648791106,0.189924258214264,0.3315394115466873,152
73,AN Cook,0.5913322571549919,0.07156444362995414,0.33144835039247306,153
643,KIC Asalanka,0.5002266214071123,0.1616454164693359,0.3309360189382241,154
1010,RD Berrington,0.5364320585782525,0.12296645127705949,0.329699254927656,155
234,CE McConchie,0.4929492848853932,0.1645744112506688,0.328761848068031,156
502,IJL Trott,0.6313033416066202,0.026090275404854875,0.3286968085057375,157
1111,SD Hope,0.55529788389983,0.10163414381080903,0.32846601385531954,158
1197,Shakib Al Hasan,0.49294901905044175,0.16377960082608817,0.32836430993826493,159
1255,TLW Cooper,0.5515046796014484,0.10389688066577707,0.32770078013361276,160
1208,Shoaib Malik,0.5506475722474924,0.10400837038018432,0.32732797131383834,161
793,MP Stoinis,0.4352321782030313,0.21450136162552313,0.3248667699142772,162
650,KM Jadhav,0.45879010565501016,0.19052780805172392,0.32465895685336704,163
1271,Tamim Iqbal,0.5178629445454014,0.13094564085441496,0.32440429269990817,164
861,Muhammad Usman,0.47537292539459425,0.16802414352532724,0.32169853445996077,165
576,JL Smith,0.2831628288433247,0.3595159685321577,0.3213393986877412,166
938,P Khadka,0.5148755703169173,0.12638491608143376,0.32063024319917555,167
58,AJ Strauss,0.5415881040266568,0.09748645003103334,0.31953727702884505,168
742,MD Crowe,0.6046496136557951,0.03308997118801726,0.31886979242190616,169
787,MN van Wyk,0.5195773456782525,0.1181207959164914,0.31884907079737196,170
713,M Levitt,0.46737758318861444,0.16991122355497332,0.3186444033717939,171
792,MP O'Dowd,0.5416632786969054,0.09539557412710647,0.318529426412006,172
8,A Johnson,0.39501137451586443,0.24096824894340504,0.31798981172963475,173
977,PR Stirling,0.4316384540924666,0.20429894400627613,0.31796869904937136,174
1204,Sharjeel Khan,0.3921498241792091,0.24355347214507678,0.31785164816214295,175
914,Najibullah Zadran,0.45328053485041864,0.18234143655880908,0.31781098570461386,176
1122,SK Raina,0.450779720266892,0.18466568964180438,0.3177227049543482,177
1223,T Bavuma,0.516038981171923,0.11803256935959579,0.31703577526575943,178
1005,RA Smith,0.6048439313769798,0.028895892764755828,0.3168699120708678,179
1098,SA Engelbrecht,0.5585431403721487,0.07475225556923092,0.3166476979706898,180
436,GP Thorpe,0.5947368789980757,0.03610942697684918,0.31542315298746243,181
1237,T de Zorzi,0.439754173427795,0.1904022284492292,0.3150782009385121,182
1128,SM Katich,0.5808002782836231,0.04831014542971069,0.3145552118566669,183
1097,SA Edwards,0.4758035351495821,0.15076270154971813,0.3132831183496501,184
966,PL Mommsen,0.5473643665834598,0.07810129608205649,0.31273283133275814,185
1190,Shahid Afridi,0.22624070483598627,0.3991300210360995,0.3126853629360429,186
835,Mohammad Hafeez,0.4995541936061451,0.12568898799777617,0.3126215908019606,187
1341,Younis Khan,0.523133967559915,0.10187630314684094,0.312505135353378,188
612,Jaker Ali,0.5127655653510244,0.10813671577406565,0.310451140562545,189
790,MP Breetzke,0.4602551375443036,0.16015495976909289,0.31020504865669823,190
214,C de Grandhomme,0.3008191496276542,0.3186370424508812,0.3097280960392677,191
368,EC Joyce,0.6189894526911742,0.00033938781446974525,0.309664420252822,192
1222,T Banton,0.3987264609709566,0.22019974871294895,0.3094631048419528,193
1140,SP Krishnamurthi,0.39631872016907504,0.22108107505333216,0.3086998976112036,194
1108,SC Williams,0.4801234997787746,0.1371982760123143,0.30866088789554447,195
55,AJ Lamb,0.5280739844170127,0.08712107979801846,0.30759753210751556,196
552,JDS Neesham,0.3440190266871737,0.2710122281889495,0.3075156274380616,197
1067,Rameez Shahzad,0.5282509970145612,0.08472222975464484,0.30648661338460303,198
627,K Verreynne,0.4437434209501065,0.1679832462292218,0.30586333358966417,199
980,PSP Handscomb,0.4646250346558152,0.14697613678296487,0.30580058571939,200
192,BRM Taylor,0.4852461462818037,0.12590666501908285,0.30557640565044325,201
240,CJ Anderson,0.39230337489399686,0.2183790624901321,0.3053412186920645,202
1279,Towhid Hridoy,0.5016422248758738,0.10780013094287258,0.3047211779093732,203
1335,YS Samra,0.47022624777231753,0.13560795089918531,0.3029170993357514,204
492,Hashmatullah Shahidi,0.5768818606948,0.028572023259054162,0.30272694197692707,205
567,JJ Smit,0.44822343910976503,0.15637666512437748,0.3023000521170712,206
317,DJ Hooda,0.4292568142635878,0.17332650281593642,0.30129165853976214,207
