player_name,psi_log_econ,psi_log_avg,psi_combined,econ_multiplier,avg_multiplier,rank
GR Larsen,-0.2425447989702516,-0.022906880561634615,0.09611952003117362,0.784628596238215,0.9773534901440669,85
WW Daniel,-0.057543843102097786,-0.11321435622466343,0.09465751851714155,0.9440804980613798,0.8929592282304986,86
JN Gillespie,-0.06339450367858745,-0.10928509754454531,0.09398823292255935,0.9385731300905363,0.8964747982980222,87
Imran Khan,-0.05908064798819124,-0.11111876086005806,0.09377272323610246,0.9426307448183592,0.8948324715444306,88
AR Patel,-0.05770861159266247,-0.1112339268625336,0.09339215510590988,0.943924956157297,0.8947294231997444,89
RA Harper,-0.21191364246753688,-0.03328590997203268,0.09282848747053407,0.8090345607781954,0.9672619702082346,90
PR Reiffel,-0.12964971799698183,-0.07408668046776297,0.0926076929775026,0.8784030658232848,0.928591199633155,91
MJG Rippon,-0.06878320810679671,-0.10377728783146904,0.0921125945899116,0.9335290396703202,0.9014260336138951,92
Jalal-ud-Din,-0.09573313685806914,-0.08910076662306521,0.09131155670139986,0.908706483981801,0.9147533923198516,93
DW Steyn,0.023128981643480036,-0.14728937546882598,0.09048325643139064,1.0233985306592388,0.8630441974587091,94
RK Paudel,-0.06967092598048716,-0.1007173864368764,0.09036856628474665,0.9327006969779001,0.9041885327232723,95
G Miller,-0.22165229206467638,-0.024447051014775668,0.09018213136474257,0.8011938973836304,0.9758493577837147,96
DW Fleming,-0.050076497310434856,-0.11006767011731687,0.09007061251502287,0.9511566607912827,0.8957735161465719,97
N Kapil Dev,-0.13102735197682472,-0.06950184604165596,0.09001034802004555,0.877193781078942,0.9328584112874801,98
A Mishra,-0.01977529262965303,-0.12507478078831538,0.0899749514020946,0.9804189559216884,0.8824309112380074,99
GP Swann,-0.050788939074261776,-0.10821612861510949,0.0890737321014936,0.9504792583957242,0.8974336143844249,100
Aayan Afzal Khan,-0.13161779619695568,-0.06771941507959288,0.08901887545204716,0.8766759999564472,0.934522649757453,101
BD Julien,-0.1986598312598463,-0.033881322666260115,0.0888074921974555,0.8198287260100253,0.9666862215735614,102
SO Tikolo,-0.06623445633902345,-0.09779832866552426,0.08727703789002399,0.935911408203771,0.9068317672867885,103
K Klein,0.0758336248704713,-0.1676104962570438,0.08646245588120544,1.0787830765516346,0.8456831673013705,104
Waqar Younis,0.03401744784305892,-0.1446230159624641,0.08507619469395643,1.034602658155446,0.8653484541822528,105
CJ McDermott,-0.06274687116690818,-0.09468987698415887,0.08404220837840864,0.9391811774385345,0.9096549956797692,106
RM Hogg,-0.1099056185426091,-0.07028786854576206,0.08349378521137774,0.8959186894179059,0.9321254516821728,107
KV Morea,0.0032531334005561005,-0.12604434803908598,0.08294518755920528,1.003258430581605,0.8815757497606767,108
AA Mallett,-0.16261739565150315,-0.043047564959162565,0.08290417518994277,0.8499163078898188,0.9578658281344651,109
LN Rajbanshi,-0.11464948909610712,-0.06369303920050476,0.08067852249903888,0.8916786322217132,0.9382929744915669,110
PW Hasaranga,0.030973339464322094,-0.13604650832962192,0.08037322573164059,1.0314580042970236,0.8728020389798349,111
Mujeeb Ur Rahman,-0.07362048547875522,-0.08285273265337756,0.07977531692850344,0.9290242051219129,0.9204866948721633,112
KD Boyce,-0.05762921121682989,-0.08939412749308938,0.07880582206766955,0.9439999071291019,0.9144850788270872,113
GT Main,0.11542788266459389,-0.17580640454053892,0.07872830880549465,1.1223535704806926,0.8387803516872511,114
Aqib Ilyas,-0.062260390787787126,-0.08692470198506169,0.0787032649193035,0.9396381818066143,0.9167461221975419,115
GR Dilley,-0.0917199758250366,-0.07112631615832815,0.0779908693805643,0.9123605968011059,0.9313442408705334,116
DL Vettori,-0.15730880241711762,-0.03607528755521952,0.07648645917585221,0.854440164886041,0.9645676708075865,117
WJ Cronje,-0.19379645030009165,-0.017414149885806956,0.07620825002390186,0.8238255766520706,0.9827366000930131,118
Nadeem Ahmed,-0.08146025099903549,-0.07343720047064024,0.076111550646772,0.9217693485364309,0.9291944969363792,119
DS Lehmann,-0.060347346324639936,-0.08353710115048801,0.07580718287520533,0.9414374719399503,0.9198569582867023,120
CA Soper,-0.05151249130468746,-0.08792794098528409,0.07578945775841854,0.9497917857495145,0.9158268679274197,121
Abdul Qadir,-0.10790037795801392,-0.05916792581261352,0.075412076527747,0.8977170243789578,0.9425484776478199,122
WPUJC Vaas,-0.09673888267934128,-0.06470998727994828,0.07538628574641261,0.9077930156682427,0.9373392642722829,123
WKM Benjamin,-0.10289586122286709,-0.06139729785830693,0.07523015231316031,0.9022209247732549,0.9404495269603678,124
BA Reid,-0.11211953765243263,-0.05677340633190666,0.07522211677208197,0.8939373919360014,0.9448081326533371,125
DE Bollinger,0.01842099110509007,-0.12158610693842516,0.07491707425725341,1.018591704185348,0.8855148010975379,126
JR Hazlewood,-0.013889131594989574,-0.10482054058188855,0.0745100709195889,0.9862068773854615,0.9004861087998507,127
SN Netravalkar,-0.06739374448080489,-0.07558892629270265,0.07285719902207007,0.9348270458721225,0.9271972746515664,128
JC Tredwell,-0.08099296287932396,-0.0687655921252952,0.07284138237663812,0.9222001810557355,0.9335454848454627,129
Harmeet Singh,-0.08409211474544687,-0.06630419003627874,0.07223349827266812,0.919346566819639,0.9358461459164902,130
Arafat Sunny,-0.020994228574661333,-0.09732693066126717,0.07188269663239856,0.9792246160749124,0.9072593467442179,131
GH O'Brien,-0.020567002455407886,-0.09744474795356155,0.07181883278751032,0.9796430557853378,0.9071524622011231,132
Arshad Khan,-0.1788677012795084,-0.01712149543015166,0.07103689737993725,0.8362165224552044,0.9830242444259107,133
HMRKB Herath,-0.09490729980044897,-0.05905523741619495,0.07100592487761297,0.9094572374281131,0.9426546979090958,134
Abrar Ahmed,0.017248220473408873,-0.11429074486121674,0.0704444230830082,1.0173978299561592,0.8919985741756321,135
MR Whitney,-0.12583201802797608,-0.04234017823407682,0.0701707914987099,0.8817629546233196,0.9585436494183248,136
