player_idx,player_name,psi_log_avg,psi_log_sr,psi_combined,rank,avg_multiplier,sr_multiplier
1153,SS McKechnie,-0.0186487292902495,-0.1021360620089753,-0.046477840196491434,831,0.9815240823552682,0.9029066920123681
1317,WPUJC Vaas,-0.0652419851801248,-0.0090422456259339,-0.04650873866206117,832,0.9368407343721249,0.9909985125360955
1212,Simi Singh,-0.0758996920484186,0.0107154997407236,-0.04702796145203786,833,0.926909178257377,1.010773116320988
64,AL Phehlukwayo,-0.1032367218803677,0.0651729789503104,-0.04710015493680833,834,0.9019134455623858,1.0673436363985809
738,MC Henriques,-0.0762112937814644,0.0109481694098075,-0.04715813938437377,835,0.9266203967458023,1.0110083199287931
676,Khaled Mashud,0.0187024413700091,-0.1800121154102926,-0.047535744223424804,836,1.0188784274376104,0.8352600918312572
27,AC Botha,-0.0426360569243542,-0.0598571532711092,-0.04837642237327253,837,0.9582600787320916,0.9418990711761552
255,CMW Read,-0.0565259075600725,-0.0368520312477536,-0.049967948789299534,838,0.9450420004455896,0.9638187398546159
1068,Raqibul Hasan,-0.0114185043329521,-0.1272790311907431,-0.05003867995221576,839,0.9886464393659836,0.8804879547148355
218,CA Soper,0.0057337262906434,-0.1621658090914491,-0.050232785503387424,840,1.0057501955609485,0.8503002053465745
1089,S Prasanna,-0.1550005075151389,0.1581567996815057,-0.05061473844959071,841,0.856414742840056,1.1713498475919706
115,Akram Khan,-0.0110685466801193,-0.1324539431622685,-0.05153034550750237,842,0.9889924843003904,0.875943276354519
1207,Shoaib Khan,-0.0549604967513473,-0.0455828838741952,-0.051834625792296606,843,0.9465225379301375,0.9554404086874172
1193,Shahriar Hossain,-0.0144314560243985,-0.1266547514178773,-0.05183922115555809,844,0.985672178306696,0.8810377971451124
1265,TS Kamunhukamwe,-0.0936389552268679,0.0302218744771302,-0.05235201199220186,845,0.9106114744104808,1.0306831908800742
520,Irfan Khan,-0.1030559859757299,0.0434972170584052,-0.05420491829768487,846,0.9020764684364742,1.0444570876449084
1130,SM Sharif,-0.0835176108202946,0.0036981920385856,-0.0544456765340012,847,0.9198748867772656,1.0037050387883595
559,JG Bracewell,-0.059969847898023,-0.0450053989638643,-0.054981698253303436,848,0.9417929301926102,0.9559923204511742
1082,S Jora,-0.1240822505421752,0.0814982649904871,-0.05555541203128777,849,0.883307185399909,1.0849113352508795
622,K Doriga,-0.0428530767977791,-0.0812137686582371,-0.05563997408459843,850,0.9580521398153519,0.9219965764058126
321,DJ Nash,-0.0282670424170163,-0.1130024112438088,-0.05651216535928047,851,0.9721287325297223,0.8931485065146124
54,AJ Hosein,-0.106772390813422,0.0414778722516589,-0.05735563645839503,852,0.8987302089641046,1.042350096735661
