rank,player_name,composite_score
372,Basit Ali,1.2053
374,Nasir Hossain,1.2037
375,Sabbir Rahman,1.2035
376,DS Smith,1.202
377,MH Yardy,1.2015
378,Kushal Malla,1.2001
378,K Mishara,1.2001
380,J Charles,1.1996
381,IK Pathan,1.1995
382,A Jadeja,1.1991
383,Soumya Sarkar,1.1989
384,N Davin,1.1981
385,NV Knight,1.1951
386,WU Tharanga,1.1947
387,SW Billings,1.1944
388,C Campher,1.1928
389,OF Smith,1.1907
390,A Balbirnie,1.1904
391,C Bosch,1.19
392,S Samarawickrama,1.1897
393,AC Hudson,1.1892
394,DJ Bravo,1.1888
395,DSBP Kuruppu,1.1881
396,R Powell,1.1856
397,MD Gunathilaka,1.1848
398,Khurram Manzoor,1.1846
399,Hussain Talat,1.1843
399,MT Renshaw,1.1843
401,CP Rizwan,1.1841
402,BM Laird,1.1836
403,JS Malhotra,1.1834
404,JN Frylinck,1.1831
405,BJ Watling,1.1827
406,Shan Masood,1.1826
407,Usman Ghani,1.1821
408,Noor Ali Zadran,1.1816
409,Samiullah Shinwari,1.1798
410,Mominul Haque,1.1795
410,GW Flower,1.1795
412,IT Botham,1.1793
413,MM Ali,1.1791
414,W Barresi,1.1789
415,HD Rutherford,1.1784
416,RR Patel,1.1783
417,YK Pathan,1.1779
418,Gulsan Jha,1.1775
419,BM McMillan,1.1763
420,JN Loftie-Eaton,1.1762
421,NC Johnson,1.1753
422,R Shepherd,1.1751
423,Khushdil Shah,1.175
424,GEF Barnett,1.1747
425,M Spoors,1.1746
426,S Joseph,1.1737
426,JT Smuts,1.1737
428,NLTC Perera,1.1736
429,RG Twose,1.1732
430,Abdul Razzaq,1.1729
431,MW Short,1.1723
432,AR Patel,1.1715
433,H Klaasen,1.1709
434,CK Kapugedera,1.1694
435,WTS Porterfield,1.1693
436,Afif Hossain,1.1686
437,A Sharma,1.1677
438,Asad Shafiq,1.1676
439,Shahriar Nafees,1.1667
440,AT Carey,1.166
441,MA Agarwal,1.1653
442,Taufeeq Umar,1.1643
443,Khalid Latif,1.1639
444,JA Morkel,1.1633
445,JO Holder,1.1618
446,Nurul Hasan,1.1609
447,BP Nash,1.1605
448,KH Prajapati,1.1601
449,HM Nicholls,1.1588
450,MS Sinclair,1.1586
451,L Vincent,1.1576
452,SJ Myburgh,1.1574
452,KC Brathwaite,1.1574
454,DW Randall,1.1556
455,MJ Santner,1.1548
456,A Flintoff,1.1546
457,MJ Greatbatch,1.1535
458,AA Obanda,1.1533
459,NA Greenwood,1.152
460,R Gunasekera,1.1519
461,BN Cooper,1.1503
462,ES Szwarczynski,1.1501
463,JR Hopes,1.15
464,S Movva,1.1497
465,RL Chase,1.1471
466,Washington Sundar,1.1467
467,A Sharafu,1.1464
468,TA Blundell,1.1462
469,MV Boucher,1.1461
470,NRJ Croes,1.1458
471,Ayaan Khan,1.1454
472,SA Wijeyeratne,1.1453
473,JP Faulkner,1.1442
474,G Malla,1.1423
475,CJA Amini,1.1413
476,L Ronchi,1.14
477,RB McCosker,1.1396
478,Basil Hameed,1.1389
479,KR Rutherford,1.1377
480,Hamza Tariq,1.1374
481,M Jansen,1.1371
482,RR Watson,1.1359
483,ADR Campbell,1.1349
484,LMP Simmons,1.1332
485,Tayyab Tahir,1.1325
486,SM Curran,1.1306
487,MH Cross,1.1292
488,SL Campbell,1.1278
489,A Athanaze,1.1273
489,RJ Nicol,1.1273
491,PA Patel,1.1272
492,Aamer Malik,1.1267
493,MA Leask,1.1265
494,MR Swart,1.126
495,Abdullah Shafique,1.1252
496,Anwar Ali,1.1248
496,Rizwan Cheema,1.1248
498,Ravinderpal Singh,1.1246
499,Mosaddek Hossain,1.1239
500,M Vijay,1.1229
501,RT Robinson,1.1228
502,TM Moody,1.1223
503,KLT Arthurton,1.1216
504,KA Edwards,1.1215
505,BOP Fernando,1.1208
506,MHW Papps,1.1207
507,DJG Sammy,1.1204
508,RH Vance,1.1198
509,Mohammad Hasnain,1.1193
510,N Boje,1.1178
511,JJ Atkinson,1.1174
512,JP Kotze,1.1149
513,HDRL Thirimanne,1.1112
514,Wajahatullah Wasti,1.1109
515,Aarif Sheikh,1.1094
516,Iftikhar Ahmed,1.1084
517,PWA Mulder,1.1067
518,GH Dockrell,1.1062
519,AM Blignaut,1.1056
520,Ali Naseer,1.1048
520,KMA Paul,1.1048
522,J Dyson,1.1041
523,Aftab Ahmed,1.103
524,AK Sah,1.1028
525,BA Young,1.1021
526,Ashfaq Ahmed,1.1016
527,PBB Rajapaksa,1.1012
528,CJ Tavare,1.1011
528,D Ramdin,1.1011
530,Khalid Kail,1.101
531,Moin Khan,1.1009
532,GC Wilson,1.1007
533,Hammad Mirza,1.1006
534,SSJ Brooks,1.1002
535,Harmeet Singh,1.1001
536,R Ashwin,1.0997
537,CA Best,1.0984
538,Nawroz Mangal,1.0969
539,PJ Moor,1.0954
540,SJ Baard,1.095
541,SA Thomson,1.0947
542,DT Johnston,1.0946
543,AB Barath,1.0943
544,Shafiqullah,1.0935
545,NJ O'Brien,1.0925
546,Habibul Bashar,1.0922
547,Khawar Ali,1.0919
548,T Mishra,1.0905
549,S Bau,1.0888
549,MW Forde,1.0888
551,RD Jacobs,1.0884
552,SN Thakur,1.0883
553,MN Waller,1.0871
553,DO Obuya,1.0871
555,RML Taylor,1.0863
556,AM Samad,1.0861
557,RS Kaluwitharana,1.0854
558,SM Pollock,1.0853
559,SV Carlisle,1.0843
559,TAM Siriwardana,1.0843
561,HA Varaiya,1.0842
562,PW Borren,1.0835
563,AT Rayudu,1.0806
564,B Ward,1.0798
565,Naseem Khushi,1.0797
566,Saleem Elahi,1.0796
567,E Chigumbura,1.0792
568,MR Ramprakash,1.0787
569,PV Simmons,1.0771
570,NM Hauritz,1.077
571,GRJ Matthews,1.0766
572,MR Adair,1.0763
573,CR Woakes,1.0761
574,JL Denly,1.0754
575,M van Jaarsveld,1.0747
576,H Patel,1.0737
577,D Heyliger,1.0731
578,CN Greaves,1.0725
578,GO Jones,1.0725
580,DR Smith,1.0711
581,JP Crawley,1.0707
582,GS Blewett,1.0697
583,Mohammad Wasim,1.068
584,TK Curran,1.0674
585,DJ Willey,1.0663
586,Vikramjit Singh,1.0647
587,Saif Hassan,1.0643
588,CWJ Athey,1.0639
589,LJ Wright,1.0638
589,GJ Delany,1.0638
591,AC Parore,1.0633
592,B Zuiderent,1.063
593,IA Healy,1.0626
594,Rashid Khan,1.0618
595,Naeem Islam,1.0617
597,ZG Foulkes,1.0616
597,AJ Redmond,1.0616
597,KOA Powell,1.0616
599,GN Edwards,1.061
600,Kashif Daud,1.0609
601,Rohan Mustafa,1.0605
601,D Pretorius,1.0605
603,RJ Peterson,1.0588
604,D Elgar,1.0581
605,GJ Whittall,1.0578
605,Nasir Jamal,1.0578
607,RS Morton,1.0564
608,SC van Schalkwyk,1.0557
609,C Madande,1.0551
610,JJ Tucker,1.0549
611,Mohammad Ashraful,1.0548
612,P Willey,1.0525
613,Saad Bin Zafar,1.0514
614,Gulbadin Naib,1.0507
615,AJ Turner,1.0505
616,Sohaib Maqsood,1.0494
617,Mehidy Hasan Miraz,1.0493
618,Mohammad Boota,1.0491
619,IDS Smith,1.0485
620,HH Streak,1.0483
621,S Ranatunga,1.0482
622,Imran Farhat,1.0474
623,G Motie,1.0465
624,DJ Reekers,1.0443
625,Rashid Latif,1.0441
626,DF Watts,1.0439
627,AC Agar,1.0433
628,MJ Hay,1.0422
629,DN Wellalage,1.0418
630,PA Strang,1.0416
631,DE Bernard,1.0406
632,Yasir Ali,1.0403
633,GB Hogg,1.0393
634,D la Cock,1.0378
635,Jahurul Islam,1.0373
636,D Ganga,1.0367
636,CD Wallace,1.0367
638,C Karunaratne,1.0357
639,NE Bonner,1.0353
640,V Sibanda,1.0348
641,NH Fairbrother,1.0346
641,Azhar Mahmood,1.0346
643,JJ Crowe,1.0335
644,AD Mascarenhas,1.0331
644,MC Sorensen,1.0331
646,MA Vermeulen,1.0325
647,Suraj Kumar,1.032
648,JEC Franklin,1.031
649,AJ Hall,1.0299
650,RIC Holder,1.0296
651,Amjad Javed,1.0293
652,PL Symcox,1.0288
653,JF Mooney,1.0287
654,ZE Green,1.0284
655,PW Hasaranga,1.0274
655,TT Bresnan,1.0274
657,Ghulam Shabber,1.0269
658,CH Morris,1.0257
659,Faisal Iqbal,1.0247
660,MRJ Veletta,1.0238
661,I Udana,1.0236
662,SR Patel,1.0222
663,TD Astle,1.0221
664,AR White,1.022
665,BMAJ Mendis,1.0219
666,TD Paine,1.0213
666,JR Murray,1.0213
668,GP Swann,1.0194
669,AT Nidamanuru,1.019
670,T Suri,1.0183
671,AD Poynter,1.0171
672,KDK Vithanage,1.0167
672,CK Coventry,1.0167
674,CS Pandit,1.0166
675,MJ Horne,1.0157
676,AM Hardie,1.0136
677,N Vanua,1.0131
677,C Tear,1.0131
679,NR Kumar,1.0121
680,CB Wishart,1.01
681,LPC Silva,1.0099
682,Karim Sadiq,1.0084
683,JW Hastings,1.0078
684,CZ Harris,1.0075
685,Rajin Saleh,1.0051
686,MB Kruger,1.0046
687,DT Christian,1.0045
688,AR McBrine,1.0042
689,RW Chakabva,1.0041
690,V Sukumaran,1.004
691,UC Hathurusingha,1.0025
692,MA Carberry,1.0013
694,J Mubarak,1.0002
694,PG Fulton,1.0002
694,Mohammad Ishaq,1.0002
696,I Kaia,0.9992
697,WIA Fernando,0.9988
698,K Weeraratne,0.9987
699,GM Hamilton,0.9984
700,CM Spearman,0.9947
701,AR Cusack,0.9945
702,Asif Mujtaba,0.9939
703,MD Moxon,0.9933
704,WD Parnell,0.9932
704,WV Raman,0.9932
706,Javed Ahmadi,0.993
707,JAH Marshall,0.9929
708,DM Wellham,0.9923
709,R Mutumbami,0.9921
709,DA Gunawardene,0.9921
711,TJ Friend,0.992
712,D Parashar,0.9902
713,MD Shanaka,0.9894
714,JN Mohammed,0.9888
715,DS Bajwa,0.9887
716,DL Vettori,0.9883
717,B Lee,0.9878
718,Anamul Haque,0.9876
719,ML Udawatte,0.9871
720,NT Broom,0.987
721,W Madhevere,0.9862
722,MD Dai,0.985
723,SP Patil,0.9846
724,PL Taylor,0.9844
725,T Munyonga,0.9828
726,UDU Chandana,0.9821
727,DDP D'Silva,0.982
728,RE van der Merwe,0.9814
729,Tanwir Afzal,0.981
729,MJ Potts,0.981
731,DE Budge,0.9804
732,NK Patel,0.9791
733,AM Bacher,0.9789
734,PS Athavale,0.9781
735,TN de Grooth,0.9752
736,Nazimuddin,0.9724
737,Naved-ul-Hasan,0.9716
738,GSNFG Jayasuriya,0.9714
739,JH Davey,0.9712
740,Aryan Lakra,0.9685
740,J Botha,0.9685
742,NR Mongia,0.966
743,Haseeb Amjad,0.9657
744,Mohammad Nawaz (3),0.9656
745,GI Hume,0.9651
746,Karan KC,0.9636
747,DJ Richardson,0.9635
748,Faheem Ashraf,0.9621
749,N Deonarine,0.9617
750,Afsar Zazai,0.961
751,B Bhandari,0.9609
752,CJ Bowes,0.9607
753,CJ Chibhabha,0.9585
754,L Siaka,0.9576
755,Imrul Kayes,0.9573
756,JM How,0.9568
757,J Fraser-McGurk,0.9552
758,RC Russell,0.9545
759,W Larkins,0.9543
760,AJ Bichel,0.9534
761,R Trumpelmann,0.9526
762,DAJ Bracewell,0.9523
763,Javed Omar,0.9522
764,S Muthusamy,0.952
765,T van der Gugten,0.9516
765,Aizaz Khan,0.9516
767,SR Thompson,0.9505
768,OJ Hairs,0.9499
769,JM Brearley,0.9451
770,Zawar Farid,0.944
771,WP Saha,0.9439
772,KA Jamieson,0.9437
773,FA Allen,0.9436
774,XM Marshall,0.943
775,J Overton,0.9426
776,NM Coulter-Nile,0.9398
777,Aayan Afzal Khan,0.9396
778,Umar Amin,0.9387
779,Shamsur Rahman,0.9383
780,DD Ebrahim,0.9365
781,JM Davison,0.9364
782,Amjad Ali,0.9363
783,Mohammad Naveed,0.936
784,TE Blain,0.9354
785,GJ Rennie,0.9344
786,WW Hinds,0.934
786,Waheed Ahmed,0.934
788,Hasan Raza,0.9324
789,AS Hansra,0.9313
790,Mohammad Aadil Alam,0.9304
791,LR Johnson,0.9291
792,NFI McCallum,0.9275
793,Mohammad Naim,0.9273
794,T Marumani,0.926
795,CR Brathwaite,0.9251
796,Mansoor Akhtar,0.9234
797,ADS Fletcher,0.9232
798,PR Reiffel,0.9231
799,Zulfiqar Babar,0.9227
800,MD Bell,0.9212
801,HDPK Dharmasena,0.9201
802,AF Giles,0.9189
803,SB Joshi,0.9188
804,C Overton,0.9183
805,MG Johnson,0.9175
806,CS Baugh,0.9153
807,OAC Banks,0.9151
808,Tanzim Hasan Sakib,0.9142
809,H Hiri,0.9136
810,TK Musakanda,0.9104
811,Sompal Kami,0.9102
812,Hasan Ali,0.9099
813,Mohammad Mithun,0.9091
814,S Dhaniram,0.909
815,NL McCullum,0.9086
816,D Myers,0.9085
817,C White,0.9074
818,MV Nagamootoo,0.9053
819,CC Lewis,0.9029
820,Wasim Ali,0.9015
820,LM Jongwe,0.9015
822,RS Kalpage,0.9006
823,CA Pujara,0.8999
824,S Prasanna,0.8991
824,Hannan Sarkar,0.8991
826,Fayyaz Butt,0.898
827,ZB Lion-Cachet,0.8979
828,MRJ Watt,0.8972
829,KD Shah,0.8939
830,GD Elliott,0.8927
831,AL Phehlukwayo,0.8923
832,GM Strydom,0.8907
833,Zahid Fazal,0.8902
834,Simi Singh,0.8887
835,MC Henriques,0.8886
836,WPUJC Vaas,0.8882
837,KTGD Prasad,0.8876
838,S Jora,0.8869
839,Khaled Mashud,0.8864
840,SS McKechnie,0.8861
841,Harbhajan Singh,0.8856
842,TS Kamunhukamwe,0.8855
843,AC Botha,0.885
844,Irfan Khan,0.8849
845,CMW Read,0.8842
846,JL Ontong,0.8835
847,CA Soper,0.8834
848,Raqibul Hasan,0.883
849,Shoaib Khan,0.8824
850,SM Sharif,0.8822
850,AJ Hosein,0.8822
852,TG Southee,0.8818
852,Akram Khan,0.8818
854,Shahriar Hossain,0.8814
855,J Kila,0.88
856,JG Bracewell,0.8797
857,Sohag Gazi,0.8786
858,RG Aga,0.8785
859,K Doriga,0.8783
860,DJ Nash,0.8773
860,HR Walsh,0.8773
862,DR Flynn,0.877
863,Aminul Islam,0.8769
864,Rishad Hossain,0.8736
865,JA McCollum,0.8723
866,CJO Smith,0.8713
867,DP Hyatt,0.8694
868,Azam Khan,0.8684
869,A Nao,0.8683
870,Mohammad Rafique,0.8682
871,MA Wood,0.867
872,TB Sole,0.8669
873,MA Ealham,0.8664
873,RO Hinds,0.8664
875,VD Philander,0.8642
876,AH Omarshah,0.8641
877,NM Lyon,0.864
878,DT Tiripano,0.8638
879,DLS van Bunge,0.8637
880,SW Poynter,0.8633
881,Mashrafe Mortaza,0.8629
882,GM Ewing,0.8628
882,KM Dabengwa,0.8628
884,Waqas Khan,0.8626
885,JC Archer,0.8625
886,FC Hayes,0.8623
887,JE Emburey,0.8616
888,MO Jones,0.8612
889,Aamir Kaleem,0.8593
890,U Bhatti,0.8588
891,Yasir Shah,0.858
892,Sufyan Mehmood,0.8574
893,CJ Jordan,0.8557
894,DR Pringle,0.8556
895,Ziaur Rahman,0.8549
896,PAJ DeFreitas,0.8542
897,Shamim Hossain,0.854
898,AB Agarkar,0.8533
899,Shakeel Ahmed,0.8522
899,AS Joseph,0.8522
901,CD Cumming,0.8504
902,AJ Tye,0.8493
903,AC Cummins,0.8483
904,Shahid Nazir,0.8472
905,Yasir Arafat,0.8463
906,Al Sahariar,0.8461
907,TM Odoyo,0.8452
908,Naimur Rahman,0.8451
909,Shahid Wasif,0.8448
910,S Shrivastava,0.8421
911,K Pierre,0.8419
912,T Kaitano,0.8404
913,Sohail Tanvir,0.8381
914,Ijaz Faqih,0.838
915,PM Seelaar,0.8379
916,Mehrab Hossain,0.8376
917,AFG Griffith,0.8375
918,RP Snell,0.837
919,RWT Key,0.8367
920,CO Browne,0.8366
920,NS Poonia,0.8366
922,Nangeyalia Kharote,0.8361
923,BR Hartland,0.8356
924,BA Carse,0.8346
925,Sandeep Goud,0.8337
926,SB Doull,0.8326
927,S Elworthy,0.8323
928,Alok Kapali,0.8321
929,SK Warne,0.8313
930,RJ Harris,0.8307
931,Saqib Zulfiqar,0.8291
932,PJ Wiseman,0.8283
933,PR Downton,0.8271
934,Rehan Ahmed,0.8265
935,Dawlat Zadran,0.826
936,JD Nel,0.8259
937,MDK Perera,0.8249
938,BP Julian,0.824
939,RP Burl,0.8226
940,CT Mutombodzi,0.8224
941,DJ Capel,0.8219
942,RC Irani,0.8217
943,JTC Vaughan,0.8202
944,Nasum Ahmed,0.8198
945,K Rabada,0.8196
945,SP Khakurel,0.8196
947,LA Dawson,0.8192
948,SR Clark,0.8181
949,Jay Odedra,0.8179
950,AIC Dodemaide,0.8177
951,JA Richardson,0.8176
952,Mirwais Ashraf,0.8174
953,Mohammad Haris,0.8166
954,MJ McClenaghan,0.8164
955,PJ Cummins,0.8159
