rank,player_name,psi_log_avg,psi_log_sr,psi_combined,rank
48,Q de Kock,0.2819111440241834,0.1846363397117814,0.2494862092533827,274
49,Umar Akmal,0.3030282619163303,0.1397560332000115,0.2486041856775573,279
50,TM Head,0.2651394272288297,0.2092179090878449,0.2464989211818348,281
51,SC Williams,0.3092526886315125,0.1177945278420813,0.2454333017017021,287
52,Salman Agha,0.3106080414950068,0.0995232974786954,0.2402464601562363,298
53,DJ Bravo,0.3170380892942327,0.0815718518046366,0.2385493434643673,300
54,BKG Mendis,0.2977112477120675,0.1028088580051929,0.2327437844764426,310
55,BRM Taylor,0.3033709010984492,0.0896630497387963,0.2321349506452316,311
56,SD Hope,0.3297993544921608,0.0245332289182709,0.2280439793008642,318
57,S Dhawan,0.2572681015137357,0.135924659706267,0.2168202875779128,343
58,DP Conway,0.2957560265867573,0.0468471028226842,0.2127863853320663,349
59,MDKJ Perera,0.2274013177863116,0.1779156125018113,0.2109060826914782,355
60,Ahmed Shehzad,0.3013119649150914,0.0148186575807099,0.2058141958036309,364
61,KD Karthik,0.2439345896403954,0.1197282818799559,0.2025324870535823,372
62,MM Ali,0.2352049242960479,0.1330854765061341,0.2011651083660766,375
63,Mushfiqur Rahim,0.2656102938705794,0.0437736042356914,0.1916647306589501,398
64,Tamim Iqbal,0.2317940996861267,0.1102781184478513,0.1912887726067015,399
65,MJ Santner,0.2325087147900762,0.0833482714284377,0.1827885670028634,411
66,DJ Malan,0.255900941420055,0.0251434140409425,0.1789817656270175,422
67,Litton Das,0.2038185010063347,0.091794779582739,0.1664772605318028,458
68,LD Chandimal,0.2315624354386273,-0.0073728423376599,0.1519173428465316,487
69,Kamran Akmal,0.1546797637347428,0.140104664114807,0.1498213971947642,492
70,CR Ervine,0.0449178290532899,-0.0275175228003846,0.0207727117687317,753
71,MS Wade,0.0088174810551573,0.0421111960087122,0.0199153860396756,755
72,Najmul Hossain Shanto,0.0119886614417096,-0.0358952740688446,-0.0039726503951417,800
