rank,player_name,psi_log_econ,psi_log_avg,psi_combined,rank
73,Rehan Ahmed,0.0435700485076191,-0.0511448879833672,0.0195732424863717,293
74,Shadab Khan,-0.0063533750790748,-0.0260228246759979,0.0194663414770235,294
75,IK Pathan,0.0693769562822069,-0.0633752124700296,0.0191244895526174,298
76,Shoaib Akhtar,0.0825860560517756,-0.0669371107054558,0.017096055119712,305
77,CR Woakes,-0.0152774970371967,-0.0178032929303208,0.0169613609659461,306
78,Mohammed Shami,0.0179193796737607,-0.0331772790480079,0.016145059474085,312
79,RW Price,-0.102735508072571,0.0282627201247713,0.0154033559410094,315
80,KA Maharaj,-0.0368313209514789,-0.003350029757826,0.0145104601557103,317
81,KD Mills,-0.0222496514099521,-0.0077024455088864,0.0125515141425749,321
82,R Rampaul,-0.0224882948536227,-0.0069518128038256,0.012130640153758,324
83,SL Malinga,0.0967499781390876,-0.0657077220243082,0.0115551553031763,326
84,KMDN Kulasekara,-0.0337260386492827,0.000647674950808,0.0108102295825555,332
85,M Morkel,0.0090221391228198,-0.0204518518308826,0.0106271881796484,333
86,Taskin Ahmed,-0.0360115832629981,0.0033669090436475,0.0097592550585677,339
87,JS Patel,0.0323683296047177,-0.0304287635768272,0.0094963991829788,341
88,KA Jamieson,-0.0579418198217851,0.0159147864207644,0.008704082326752,344
89,R Ngarava,-0.0164956349034794,-0.0048071765475024,0.0087033293328281,345
90,PWA Mulder,0.0697744363615779,-0.0426271001615063,0.0051599213204782,360
91,ST Jayasuriya,-0.014304564952511,0.0003067324304731,0.0045637000305215,368
92,RJ Peterson,0.0564237435767361,-0.0307646981459317,0.0017018842383758,381
93,M Jansen,0.0651179747369344,-0.0338880051708409,0.0008860118682491,385
94,JO Holder,-0.0456816861150573,0.0222275461854606,0.0004088645813787,388
95,AG Cremer,0.0292001230733043,-0.015129295106588,0.0003528223799572,389
96,KM Jarvis,0.0025147448999454,7.438111747677999e-05,-0.0008878357116329,393
97,AU Rashid,0.0306089243873025,-0.0124938973785063,-0.0018737098767632,396
98,Abdur Razzak,-0.0253886308207928,0.0190352289057722,-0.0042272756635838,404
99,CH Gayle,0.0042883574175205,0.0053740086758781,-0.0050121249230923,407
100,AS Joseph,0.0222575368183096,-0.0017990228930095,-0.0062198303440968,413
