rank,player_name,psi_log_avg,psi_log_sr,psi_combined,rank
32,Misbah-ul-Haq,0.5614635074868354,0.0347804295402073,0.3859024815046261,91
33,RG Sharma,0.4920646800440909,0.1656855139742783,0.3832716246874867,93
34,Mohammad Hafeez,0.5036070479233213,0.1297109343506211,0.3789750100657545,99
35,BOP Fernando,0.5619323910453045,0.0127563407241095,0.3788737076049062,100
36,GP Swann,0.4249381656683124,0.2777318843794654,0.3758694052386968,103
37,Mohammad Rizwan,0.5105205326770179,0.0791294417821043,0.3667235023787134,114
38,KL Rahul,0.4925026479405873,0.113636367859501,0.3662138879135586,115
39,GJ Maxwell,0.4097295492024395,0.2734612645940497,0.3643067876663096,118
40,Sikandar Raza,0.4723665943518391,0.1411903359111253,0.3619745082049345,119
41,Shubman Gill,0.4667796191023629,0.150794415244662,0.3614512178164626,120
42,MN Samuels,0.4960678486330305,0.079725116914046,0.3572869380600357,121
43,DJ Mitchell,0.4726984301688625,0.1239183217543851,0.3564383940307034,122
44,JA Burns,0.4410191166393415,0.1774999068663277,0.3531793800483369,127
45,BB McCullum,0.4124990105488663,0.2246392367389834,0.349879085945572,128
46,MEK Hussey,0.4609930917733042,0.1197462952963286,0.3472441596143124,132
47,B Lee,0.4075999881878501,0.2218410804225249,0.3456803522660751,134
48,MR Adair,0.403485294633584,0.2285117389971765,0.3451607760881148,135
49,SPD Smith,0.4645405065228663,0.1039890112463216,0.3443566747640181,137
50,PR Stirling,0.4239142920669395,0.17591597983072,0.3412481879881996,138
51,SB Styris,0.4439268235341755,0.1281010093339165,0.3386515521340892,142
52,SM Pollock,0.4121847705235745,0.1869887994095041,0.3371194468188844,146
53,Yuvraj Singh,0.4015187694903826,0.1994156061604874,0.3341510483804175,147
54,KC Sangakkara,0.4464465453239529,0.1090117776780806,0.3339682894419954,148
55,Mahmudullah,0.4508383635365297,0.0900291913012214,0.3305686394580936,153
56,E Chigumbura,0.4021165122093261,0.1869089776921831,0.3303806673702785,154
57,ST Jayasuriya,0.3811302070414256,0.2230790053304679,0.328446473137773,157
58,CH Morris,0.4089973565069253,0.162271453365585,0.3267553887931452,160
59,RA Jadeja,0.4270912880951705,0.1260424843002589,0.3267416868301999,161
60,JM Bairstow,0.3969700976235977,0.1825465238433393,0.3254955730301783,163
61,JO Holder,0.4033724878561712,0.1679221038503961,0.3248890265209128,164
62,RS Bopara,0.4382066487829452,0.0915925242535536,0.322668607273148,168
63,SS Iyer,0.4047414667860099,0.1545989601663435,0.3213606312461211,170
64,JC Buttler,0.3757382927642989,0.2033408320115161,0.3182724725133714,173
65,JP Duminy,0.4320794660857164,0.0841697366087809,0.3161095562600713,174
66,CD McMillan,0.3651621527978943,0.1847815365313787,0.3050352807090558,183
67,DA Warner,0.3551477596258126,0.204256708727364,0.3048507426596631,184
68,C Campher,0.4485393936168342,0.0145113465501128,0.3038633779279271,186
69,GD Phillips,0.3525239267508087,0.206025407069266,0.3036910868569611,188
70,MJ Clarke,0.414958896357335,0.0711552073426503,0.3003576666857734,194
71,P Nissanka,0.4059813280693516,0.0786300239957139,0.2968642267114723,199
72,Ibrahim Zadran,0.443911894548516,0.002344447646694,0.296722745581242,200
73,JDP Oram,0.360833799976579,0.1651144974438947,0.2955940324656842,204
74,C de Grandhomme,0.291235195667095,0.2755845777572946,0.2860183230304948,217
75,RL Chase,0.4038058754898443,0.0463834659980028,0.2846650723258971,219
76,IR Bell,0.3973236257543641,0.0583409953419773,0.2843294156169019,220
77,Younis Khan,0.3751283002366732,0.0974259707169172,0.2825608570634212,223
78,Mosaddek Hossain,0.3978824075547799,0.048788302153465,0.2815177057543416,225
79,IJL Trott,0.4260067739898355,-0.0093577506522465,0.2808852657758081,226
80,AC Gilchrist,0.2738914809431362,0.2905567114828302,0.2794465577897009,228
81,AK Markram,0.3405838722221181,0.1560920160060509,0.2790865868167624,229
82,H Masakadza,0.3877446360589446,0.0521962562886417,0.2758951761355103,231
83,R Ashwin,0.3525691964999685,0.1204772290042825,0.2752052073347398,233
84,R Ravindra,0.3311400179927535,0.1579182097431444,0.2733994152428838,234
85,CJ Anderson,0.295351745628558,0.2172312828262594,0.2693115913611252,244
86,IK Pathan,0.3471733355682535,0.1048767501871483,0.2664078071078851,248
87,RR Sarwan,0.3841138998696801,0.0305659170379819,0.266264572259114,249
88,CH Gayle,0.3068565736954592,0.1844850891694566,0.2660660788534584,250
89,MJ Guptill,0.3498187584774161,0.0897022658849645,0.263113260946599,254
90,Shakib Al Hasan,0.3274825449343153,0.1226960987467443,0.259220396205125,256
91,HE van der Dussen,0.3811960125516574,0.0060954151399769,0.2561624800810973,260
92,DS Smith,0.3553305385258158,0.0553529019118924,0.2553379929878414,261
93,M Jansen,0.2893330041890519,0.18426948798866,0.2543118321222546,262
94,CR Woakes,0.3142981276234665,0.1310958968755337,0.2532307173741556,264
95,JD Ryder,0.3112864681183498,0.1365774653032706,0.2530501338466568,266
96,DAJ Bracewell,0.3172729810093351,0.1202591416950139,0.2516017012378947,268
97,DM Bravo,0.3802520244841892,-0.0062002678696859,0.2514345936995642,269
98,PD Collingwood,0.3269556497065952,0.0950560114698916,0.2496557702943607,273
99,Q de Kock,0.2819111440241834,0.1846363397117814,0.2494862092533827,274
100,HH Gibbs,0.3077226999116504,0.1313704692444475,0.2489386230225827,275
